year,population_total,pop_65_plus,pop_75_plus
2006,53729000,8520000,4090000
2007,54094000,8651000,4135000
2008,54490000,8810000,4190000
2009,54895000,8970000,4255000
2010,55243000,9131000,4296000
2011,56171000,9322000,4338000
2012,56568000,9543000,4416000
2013,56948000,9748000,4485000
2014,57409000,9942000,4574000
2015,57885000,10198000,4674000
2016,58381000,10437000,4795000
2017,58745000,10654000,4906000
2018,59116000,10841000,5028000
2019,59440000,11000000,5167000
2020,59597000,11108000,5275000
2021,59598000,11200000,5400000
2022,60197000,11277000,5536000
2023,60853000,11380000,5650000
